"OS_TOID","EASTING","NORTHING","LATITUDE","LONGITUDE","OA","LSOA","MSOA","WARD_CODE","WARD","ADMINISTRATIVE_AREA","KWH","PEAK_KW","DECS","EPCS","RESI_COUNT","NONRESI_COUNT","DEMAND_ESTIMATION_METHOD"
"osgb1000001802597803",532759,180765,51.5102262,-0.0883122,"E00166755","E01032739","E02000001","E05009303","Dowgate","CITY OF LONDON",1028724.71967606,306.492065429688,0,0,0,1,"Building geometry prediction"
"osgb1000001802597828",532429,180923,51.5117235,-0.0930054,"E00166757","E01032739","E02000001","E05009311","Vintry","CITY OF LONDON",586491.784901272,184.12451171875,0,1,96,3,"Building geometry prediction"
"osgb1000001802607666",531717,181537,51.5174077,-0.1030304,"E00190426","E01032740","E02000001","E05009305","Farringdon Without","CITY OF LONDON",783857.432408196,238.736343383789,0,152,152,2,"Building geometry prediction"
"osgb1000001802667858",532093,181796,51.5196475,-0.0975175,"E00166756","E01000001","E02000001","E05009304","Farringdon Within","CITY OF LONDON",847639.09502924,256.384979248047,0,0,0,2,"Building geometry prediction"
"osgb1000001802675097",532639.99,181607.970000001,51.5178296,-0.089709,"E00000021","E01000002","E02000001","E05009299","Coleman Street","CITY OF LONDON",2413828.09830411,689.755493164062,0,1,0,2,"Building geometry prediction"
"osgb1000001802679894",533357,180995,51.5121524,-0.0796131,"E00190458","E01032739","E02000001","E05009310","Tower","CITY OF LONDON",532230.796547648,169.110290527344,0,0,0,3,"Building geometry prediction"
"osgb1000001802680220",531717,181611,51.5180727,-0.1030027,"E00190426","E01032740","E02000001","E05009305","Farringdon Without","CITY OF LONDON",1175118.19533784,346.999694824219,0,0,0,7,"Building geometry prediction"
"osgb1000001802680254",531969,181194,51.5142665,-0.099529,"E00000024","E01032739","E02000001","E05009297","Castle Baynard","CITY OF LONDON",17794.4536119279,26.7637939453125,0,0,0,1,"Building geometry prediction"
"osgb1000001802680255",531346,181182,51.5143036,-0.1085065,"E00000025","E01032740","E02000001","E05009297","Castle Baynard","CITY OF LONDON",808298.569694734,245.499313354492,0,0,0,2,"Building geometry prediction"
"osgb1000001802680262",532407,181118,51.5134811,-0.093249,"E00166757","E01032739","E02000001","E05009300","Cordwainer","CITY OF LONDON",92700.6007093134,47.4906120300293,0,0,0,2,"Building geometry prediction"
"osgb1000001802680279",532068,180907,51.5116642,-0.0982105,"E00166757","E01032739","E02000001","E05009309","Queenhithe","CITY OF LONDON",1294158.71256619,379.938659667969,0,0,0,4,"Building geometry prediction"
"osgb1000001802680926",532997,181268,51.5146906,-0.0846949,"E00166755","E01032739","E02000001","E05009301","Cornhill","CITY OF LONDON",53512.0631903508,36.6469917297363,0,0,0,1,"Building geometry prediction"
"osgb1000001802680928",532956,181282,51.514826,-0.0852802,"E00166755","E01032739","E02000001","E05009301","Cornhill","CITY OF LONDON",465497.685107881,150.644989013672,0,2,0,3,"Building geometry prediction"
"osgb1000001802680929",532948,181275,51.514765,-0.085398,"E00166755","E01032739","E02000001","E05009301","Cornhill","CITY OF LONDON",44901.5362142394,34.2644271850586,0,0,0,1,"Building geometry prediction"
"osgb1000001802680934",532977,181074,51.5129519,-0.0850561,"E00166755","E01032739","E02000001","E05009306","Langbourn","CITY OF LONDON",115586.639135639,53.8232650756836,0,0,0,1,"Building geometry prediction"
"osgb1000001802680935",533010,181071,51.5129171,-0.084582,"E00166755","E01032739","E02000001","E05009306","Langbourn","CITY OF LONDON",286764.357939078,101.18879699707,0,0,0,2,"Building geometry prediction"
"osgb1000001802681091",533188,180800,51.5104399,-0.0821207,"E00190458","E01032739","E02000001","E05009291","Billingsgate","CITY OF LONDON",1694701.31877371,490.770324707031,0,1,0,2,"Building geometry prediction"
"osgb1000001802681096",533177,180883,51.5111883,-0.0822478,"E00166755","E01032739","E02000001","E05009291","Billingsgate","CITY OF LONDON",6220757.52678765,1743.14733886719,0,1,0,8,"Building geometry prediction"
"osgb1000001802681101",533221,180886,51.5112049,-0.0816129,"E00166755","E01032739","E02000001","E05009291","Billingsgate","CITY OF LONDON",137880.042086671,59.9919357299805,0,0,0,2,"Building geometry prediction"
"osgb1000001802681185",533184.46,181901.960000001,51.5203435,-0.0817555,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",1367822.01438605,400.321594238281,0,0,0,3,"Building geometry prediction"
"osgb1000001802681198",533208,181900,51.5203203,-0.0814171,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",74902.0519110035,42.5656814575195,0,0,0,1,"Building geometry prediction"
